coef
0.0018
0.017
0.0159
0.0024
-0.0092
-0.0027
0.0091
0.0042
-0.0097
-0.0065
0.0101
0.0096
-0.0101
-0.0134
0.0095
0.0181
-0.0079
-0.0238
0.0048
0.0309
0.0002
-0.0403
-0.0089
0.0542
0.0254
-0.0804
-0.0669
0.1688
0.429
0.429
0.1688
-0.0669
-0.0804
0.0254
0.0542
-0.0089
-0.0403
0.0002
0.0309
0.0048
-0.0238
-0.0079
0.0181
0.0095
-0.0134
-0.0101
0.0096
0.0101
-0.0065
-0.0097
0.0042
0.0091
-0.0027
-0.0092
0.0024
0.0159
0.017
0.0018
